"canonical_exercise_id","exact_app_display_name","source_collections","primary_collection","primary_category","body_region","position","equipment","motion_format","requires_clinical_or_rule_review","existing_demo_status","asset_status","asset_filename","notes"
"seated-march","Seated Core March","prescribed;strength-library","prescribed","strength","Core","Seated","adjustable-bench","start_end","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/seated-march.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"supported-db-row","Bench-Supported Dumbbell Row","prescribed;strength-library","prescribed","strength","Back","Bent over","adjustable-bench;dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/supported-db-row.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"seated-arnold-press","Seated Dumbbell Arnold Press","prescribed;strength-library","prescribed","strength","Shoulders","Seated","adjustable-bench;dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/seated-arnold-press.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"db-curl","Dumbbell Biceps Curl","prescribed;strength-library","prescribed","strength","Arms","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/db-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"db-lateral-raise","Dumbbell Lateral Raise","prescribed;strength-library","prescribed","strength","Shoulders","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/db-lateral-raise.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"seated-db-triceps","Seated Dumbbell Triceps Extension","prescribed;strength-library","prescribed","strength","Arms","Seated","adjustable-bench;dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/seated-db-triceps.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"barbell-curl","Olympic Barbell Biceps Curl","prescribed;strength-library","prescribed","strength","Arms","Standing","olympic-barbell;weight-plates","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/barbell-curl.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"bilateral-calf","Bilateral Standing Calf Raise","prescribed;strength-library","prescribed","strength","Calf & ankle","Standing","","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/bilateral-calf.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"seated-calf","Loaded Seated Calf Raise","prescribed;strength-library","prescribed","strength","Calf & ankle","Seated","adjustable-bench;dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/seated-calf.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"single-calf","Single-Leg Calf Raise","prescribed;strength-library","prescribed","strength","Calf & ankle","Standing","","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/single-calf.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"belt-squat","Belt Squat","prescribed;strength-library","prescribed","strength","Legs","Standing","belt-squat","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/belt-squat.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative. Simplified rack-mounted lever illustration, not a manufacturer assembly diagram; retain the Mammoth setup instructions."
"dumbbell-romanian-deadlift","Dumbbell Romanian Deadlift","prescribed;strength-library","prescribed","strength","Legs","Standing","dumbbells","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/dumbbell-romanian-deadlift.png","Normalized 640 × 960 PNG visually inspected: exact title, panel labels, anatomy, equipment, uncropped composition and readability checked. Supplemental illustration only."
"bench-step-up","Step-Up","prescribed;strength-library","prescribed","strength","Legs","Standing","adjustable-bench","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/bench-step-up.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
"bridge","Bridge / Hip Thrust","prescribed;strength-library","prescribed","strength","Legs","Supine","","concentric_eccentric","Existing restrictions remain authoritative","external_reference","generated","/assets/exercises/prescribed/bridge.png","Final batch: individually generated with the built-in image tool and visually reviewed for title, anatomy, distinct phases and equipment continuity. Existing setup, restrictions and Short Demo remain authoritative."
